fungicide ,inoculum,treatment,estimate_growth
boscalid_175ppm,8,Fungicide,3.7
boscalid_175ppm,8,Fungicide,3.75
boscalid_175ppm,15,Fungicide,4.5
boscalid_175ppm,15,Fungicide,4.5
boscalid_175ppm,1,control,6.55
boscalid_175ppm,1,control,6.9
boscalid_175ppm,2,control,7
boscalid_175ppm,2,control,6.4
boscalid_175ppm,6,control,7.75
boscalid_175ppm,6,control,7.1
boscalid_175ppm,7,control,6
boscalid_175ppm,7,control,6.85
boscalid_175ppm,8,control,6.2
boscalid_175ppm,8,control,1.15
boscalid_175ppm,15,control,6.6
boscalid_175ppm,15,control,5.6
boscalid_200ppm,1,Fungicide,4.05
boscalid_200ppm,1,Fungicide,3.95
boscalid_200ppm,2,Fungicide,5.1
boscalid_200ppm,2,Fungicide,5.1
boscalid_200ppm,6,Fungicide,5.75
boscalid_200ppm,6,Fungicide,5.55
boscalid_200ppm,7,Fungicide,4.4
boscalid_200ppm,7,Fungicide,4.85
boscalid_200ppm,8,Fungicide,3.95
boscalid_200ppm,8,Fungicide,4
boscalid_200ppm,15,Fungicide,4.8
boscalid_200ppm,15,Fungicide,4.8
boscalid_200ppm,1,control,6.55
boscalid_200ppm,1,control,6.9
boscalid_200ppm,2,control,7
boscalid_200ppm,2,control,6.4
boscalid_200ppm,6,control,7.75
boscalid_200ppm,6,control,7.1
boscalid_200ppm,7,control,6
boscalid_200ppm,7,control,6.85
boscalid_200ppm,8,control,6.2
boscalid_200ppm,8,control,1.15
boscalid_200ppm,15,control,6.6
boscalid_200ppm,15,control,5.6
Prothioconzole_0.5ppm,1,Fungicide,1.75
Prothioconzole_0.5ppm,1,Fungicide,1.85
Prothioconzole_0.5ppm,2,Fungicide,1.2
Prothioconzole_0.5ppm,2,Fungicide,1.4
Prothioconzole_0.5ppm,6,Fungicide,1.05
Prothioconzole_0.5ppm,6,Fungicide,1.25
Prothioconzole_0.5ppm,7,Fungicide,2.75
Prothioconzole_0.5ppm,7,Fungicide,2.95
Prothioconzole_0.5ppm,8,Fungicide,3.7
Prothioconzole_0.5ppm,8,Fungicide,2.95
Prothioconzole_0.5ppm,15,Fungicide,0.95
Prothioconzole_0.5ppm,15,Fungicide,0.95
Prothioconzole_0.5ppm,19,Fungicide,4.25
Prothioconzole_0.5ppm,19,Fungicide,4.1
Prothioconzole_0.5ppm,1,control,6.55
Prothioconzole_0.5ppm,1,control,6.9
Prothioconzole_0.5ppm,2,control,7
Prothioconzole_0.5ppm,2,control,6.4
Prothioconzole_0.5ppm,6,control,7.75
Prothioconzole_0.5ppm,6,control,7.1
Prothioconzole_0.5ppm,7,control,6
Prothioconzole_0.5ppm,7,control,6.85
Prothioconzole_0.5ppm,8,control,6.2
Prothioconzole_0.5ppm,8,control,1.15
Prothioconzole_0.5ppm,15,control,6.6
Prothioconzole_0.5ppm,15,control,5.6
Prothioconzole_0.5ppm,19,control,7.1
Prothioconzole_0.5ppm,19,control,7.1
Prothioconzole_1ppm,1,Fungicide,1.05
Prothioconzole_1ppm,1,Fungicide,1.45
Prothioconzole_1ppm,2,Fungicide,0.8
Prothioconzole_1ppm,2,Fungicide,0.8
Prothioconzole_1ppm,6,Fungicide,0
Prothioconzole_1ppm,6,Fungicide,0
Prothioconzole_1ppm,7,Fungicide,1
Prothioconzole_1ppm,7,Fungicide,1
Prothioconzole_1ppm,8,Fungicide,1.6
Prothioconzole_1ppm,8,Fungicide,1.5
Prothioconzole_1ppm,15,Fungicide,0
Prothioconzole_1ppm,15,Fungicide,0
Prothioconzole_1ppm,1,control,6.55
Prothioconzole_1ppm,1,control,6.9
Prothioconzole_1ppm,2,control,7
Prothioconzole_1ppm,2,control,6.4
Prothioconzole_1ppm,6,control,7.75
Prothioconzole_1ppm,6,control,7.1
Prothioconzole_1ppm,7,control,6
Prothioconzole_1ppm,7,control,6.85
Prothioconzole_1ppm,8,control,6.2
Prothioconzole_1ppm,8,control,1.15
Prothioconzole_1ppm,15,control,6.6
Prothioconzole_1ppm,15,control,5.6
Prothioconzole_1ppm,15,control,6.6
Prothioconzole_1ppm,15,control,5.6
Prothioconzole_1.5ppm,1,Fungicide,0.95
Prothioconzole_1.5ppm,1,Fungicide,0.8
Prothioconzole_1.5ppm,2,Fungicide,0.7
Prothioconzole_1.5ppm,2,Fungicide,0.7
Prothioconzole_1.5ppm,6,Fungicide,0
Prothioconzole_1.5ppm,6,Fungicide,0
Prothioconzole_1.5ppm,7,Fungicide,0.85
Prothioconzole_1.5ppm,7,Fungicide,0.9
Prothioconzole_1.5ppm,8,Fungicide,1.65
Prothioconzole_1.5ppm,8,Fungicide,1.25
Prothioconzole_1.5ppm,15,Fungicide,0
Prothioconzole_1.5ppm,15,Fungicide,0
Prothioconzole_1.5ppm,1,control,6.55
Prothioconzole_1.5ppm,1,control,6.9
Prothioconzole_1.5ppm,2,control,7
Prothioconzole_1.5ppm,2,control,6.4
Prothioconzole_1.5ppm,6,control,7.75
Prothioconzole_1.5ppm,6,control,7.1
Prothioconzole_1.5ppm,7,control,6
Prothioconzole_1.5ppm,7,control,6.85
Prothioconzole_1.5ppm,8,control,6.2
