Fungicide,inoculum,experiment,treatment,experimental_repetition,growth
boscalid,859,paper,control,one,5.68
boscalid,859,paper,control,one,4.53
boscalid,859,paper,control,one,5.36
boscalid,859,paper,control,one,4.715
boscalid,859,paper,control,two,4.925
boscalid,859,paper,control,two,4.72
boscalid,859,paper,control,two,4.84
boscalid,859,paper,control,two,5.32
boscalid,861,plug,fungicide,one,1.44
boscalid,861,plug,fungicide,one,1.55
boscalid,861,plug,fungicide,one,1.67
boscalid,861,plug,fungicide,one,1.67
boscalid,861,plug,fungicide,two,2.45
boscalid,861,plug,fungicide,two,2.27
boscalid,861,plug,fungicide,two,2.33
boscalid,861,plug,fungicide,two,2.435
boscalid,861,plug,control,one,6.02
boscalid,861,plug,control,one,6.56
boscalid,861,plug,control,one,6.58
boscalid,861,plug,control,one,6.865
boscalid,861,plug,control,two,4.76
boscalid,861,plug,control,two,6.7
boscalid,861,plug,control,two,4.79
boscalid,861,plug,control,two,6.37
boscalid,861,paper,fungicide,one,1.61
boscalid,861,paper,fungicide,one,1.6
boscalid,861,paper,fungicide,one,1.34
boscalid,861,paper,fungicide,one,1.575
boscalid,861,paper,fungicide,two,2.175
boscalid,861,paper,fungicide,two,2.125
boscalid,861,paper,fungicide,two,2.225
boscalid,861,paper,fungicide,two,2.225
boscalid,861,paper,control,one,3.875
boscalid,861,paper,control,one,4.825
boscalid,861,paper,control,one,4.78
boscalid,861,paper,control,one,4.935
boscalid,861,paper,control,two,5.125
boscalid,861,paper,control,two,4.2
boscalid,861,paper,control,two,5.6
boscalid,861,paper,control,two,5.15
boscalid,902,plug,fungicide,one,2.275
boscalid,902,plug,fungicide,one,2.24
boscalid,902,plug,fungicide,one,2.275
boscalid,902,plug,fungicide,one,2.165
boscalid,902,plug,fungicide,two,3.13
boscalid,902,plug,fungicide,two,2.925
boscalid,902,plug,fungicide,two,3.195
boscalid,902,plug,fungicide,two,3.09
boscalid,902,plug,control,one,6.31
boscalid,902,plug,control,one,6.105
boscalid,902,plug,control,one,5.97
boscalid,902,plug,control,one,6.25
boscalid,902,plug,control,two,5.835
boscalid,902,plug,control,two,5.05
